,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
0,29,0.08544921875,3,0.70751953125,3,0,1,0.6806387225548902,0.7231920199501247
1,144,0.08544921875,3,0.70751953125,3,1,46,48.36926147704591,49.55860349127182
2,29,0.99365234375,3,0.70751953125,3,2,0,0.0,0.0
3,29,0.08544921875,9,0.70751953125,3,3,0,0.4091816367265469,0.38403990024937656
4,29,0.08544921875,3,0.19482421875,3,4,1,1.0459081836327346,0.970074812967581
5,29,0.08544921875,3,0.70751953125,5,5,0,0.7504990019960079,0.8204488778054863
6,144,0.99365234375,9,0.19482421875,5,6,0,0.0,0.0
7,99,0.58544921875,13,0.20751953125,5,7,7,7.720558882235529,8.077306733167083
8,74,0.58544921875,13,0.20751953125,5,8,3,4.7684630738522955,4.596009975062344
9,99,0.49365234375,13,0.20751953125,5,9,9,8.48502994011976,9.269326683291771
10,99,0.58544921875,19,0.20751953125,5,10,4,7.4510978043912175,6.785536159600998
11,99,0.58544921875,13,0.69482421875,5,11,0,4.343313373253493,4.224438902743142
12,99,0.58544921875,13,0.20751953125,3,12,6,5.692614770459082,5.907730673316708
13,74,0.49365234375,19,0.69482421875,3,13,3,2.4191616766467066,2.374064837905237
14,134,0.33544921875,8,0.95751953125,6,14,39,18.528942115768462,19.855361596009974
15,39,0.33544921875,8,0.95751953125,6,15,0,1.0059880239520957,1.119700748129676
16,134,0.74365234375,8,0.95751953125,6,16,4,2.960079840319361,2.630922693266833
17,134,0.33544921875,14,0.95751953125,6,17,32,21.668662674650697,21.453865336658353
18,134,0.33544921875,8,0.94482421875,6,18,20,20.269461077844312,21.246882793017456
19,134,0.33544921875,8,0.95751953125,4,19,16,18.285429141716566,16.860349127182044
20,39,0.74365234375,14,0.94482421875,4,20,0,0.12974051896207583,0.10972568578553615
21,64,0.83544921875,18,0.45751953125,4,21,0,0.0499001996007984,0.04488778054862843
22,109,0.83544921875,18,0.45751953125,4,22,1,0.7225548902195609,0.743142144638404
23,64,0.24365234375,18,0.45751953125,4,23,4,5.922155688622754,6.14214463840399
24,64,0.83544921875,4,0.45751953125,4,24,0,0.2694610778443114,0.26932668329177056
25,64,0.83544921875,18,0.44482421875,4,25,0,0.5049900199600799,0.600997506234414
26,64,0.83544921875,18,0.45751953125,6,26,0,0.3033932135728543,0.2942643391521197
27,109,0.24365234375,4,0.44482421875,6,27,29,24.13373253493014,24.216957605985037
28,47,0.46044921875,11,0.33251953125,4,28,3,1.4091816367265468,1.5087281795511223
29,126,0.46044921875,11,0.33251953125,4,29,17,17.36127744510978,16.75062344139651
30,47,0.61865234375,11,0.33251953125,4,30,2,0.9500998003992016,0.8603491271820449
31,47,0.46044921875,12,0.33251953125,4,31,3,1.5429141716566865,1.5087281795511223
32,47,0.46044921875,11,0.81982421875,4,32,0,0.33532934131736525,0.39650872817955113
33,47,0.46044921875,11,0.33251953125,3,33,1,1.3712574850299402,1.4214463840399003
34,126,0.61865234375,12,0.81982421875,3,34,10,5.560878243512974,5.620947630922693
